,Unnamed: 0,语种,count,Language,地区,pct %
11,11,罗马尼亚语,949,Romanian ,Languages of Other European Countries,10.42627993847506
14,14,意大利语,934,Italian ,Languages of Other European Countries,10.26148099318831
18,18,波兰语,746,Polish,Languages of Other European Countries,8.196000878927707
20,20,德语,700,German ,Languages of Other European Countries,7.690617446715008
22,22,威尔士语,590,Welsh ,Languages of Other European Countries,6.482091847945506
23,23,挪威语,646,Norwegian,Languages of Other European Countries,7.097341243682707
24,24,荷兰语,554,Dutch ,Languages of Other European Countries,6.086574379257306
25,25,爱沙尼亚语,555,Estonian ,Languages of Other European Countries,6.097560975609756
26,26,斯洛文尼亚语,394,Slovenian ,Languages of Other European Countries,4.328718962865304
27,27,芬兰语,399,Finnish ,Languages of Other European Countries,4.383651944627554
28,28,加泰罗尼亚语,340,Catalan ,Languages of Other European Countries,3.7354427598330036
29,29,丹麦语,302,Danish ,Languages of Other European Countries,3.3179520984399034
30,30,克罗地亚语,302,Croatian ,Languages of Other European Countries,3.3179520984399034
31,31,阿尔巴尼亚语,288,Albanian ,Languages of Other European Countries,3.1641397495056034
33,33,斯洛伐克语,259,Slovak ,Languages of Other European Countries,2.8455284552845526
34,34,瑞典语,237,Swedish,Languages of Other European Countries,2.6038233355306524
35,35,捷克语,236,Czech ,Languages of Other European Countries,2.5928367391782023
36,36,马其顿语,177,Macedonian ,Languages of Other European Countries,1.944627554383652
37,37,保加利亚语,121,Bulgarian ,Languages of Other European Countries,1.3293781586464513
39,39,立陶宛语,65,Lithuanian ,Languages of Other European Countries,0.7141287629092506
40,40,匈牙利语,108,Hungarian ,Languages of Other European Countries,1.186552406064601
42,42,乌克兰语,84,Ukrainian ,Languages of Other European Countries,0.922874093605801
45,45,拉脱维亚语,106,Latvian ,Languages of Other European Countries,1.1645792133597013
51,51,希腊语,10,Greek,Languages of Other European Countries,0.10986596352450011
